club_id,name,domestic_competition,league_id
232,spartak-moskau,RU1,RU1
16704,fk-krasnodar,RU1,RU1
932,lokomotiv-moskau,RU1,RU1
121,dinamo-moskau,RU1,RU1
2698,rubin-kazan,RU1,RU1
1083,fk-rostov,RU1,RU1
41231,fk-sochi,RU1,RU1
3725,akhmat-grozny,RU1,RU1
3729,arsenal-tula,RU1,RU1
3719,fk-khimki,RU1,RU1
11127,ural-ekaterinburg,RU1,RU1
3609,rotor-volgograd,RU1,RU1
28095,fk-ufa,RU1,RU1
41201,pfk-tambov,RU1,RU1
338,dynamo-kiew,UKR1,UKR1
10690,zorya-lugansk,UKR1,UKR1
16239,desna-chernigiv,UKR1,UKR1
2740,vorskla-poltava,UKR1,UKR1
48332,kolos-kovalivka,UKR1,UKR1
18303,fk-oleksandriya,UKR1,UKR1
6993,fk-mariupol,UKR1,UKR1
60551,sk-dnipro-1,UKR1,UKR1
23611,olimpik-donetsk,UKR1,UKR1
48726,rukh-lviv,UKR1,UKR1
49364,ingulets-petrove,UKR1,UKR1
18105,pfk-lviv,UKR1,UKR1
61825,fk-minaj,UKR1,UKR1
506,juventus-turin,IT1,IT1
124,glasgow-rangers,SC1,SC1
903,hibernian-fc,SC1,SC1
370,aberdeen-fc,SC1,SC1
987,motherwell-fc,SC1,SC1
1519,dundee-united-fc,SC1,SC1
1241,livingston-fc,SC1,SC1
2578,st-johnstone-fc,SC1,SC1
2759,ross-county-fc,SC1,SC1
2553,kilmarnock-fc,SC1,SC1
2999,hamilton-academical-fc,SC1,SC1
465,st-mirren-fc,SC1,SC1
683,olympiakos-piraus,GR1,GR1
46,inter-milan,IT1,IT1
6195,ssc-napoli,IT1,IT1
5,ac-milan,IT1,IT1
12,as-roma,IT1,IT1
800,atalanta,IT1,IT1
398,lazio-roma,IT1,IT1
6574,us-sassuolo,IT1,IT1
430,ac-fiorentina,IT1,IT1
1390,cagliari-calcio,IT1,IT1
416,fc-turin,IT1,IT1
276,hellas-verona,IT1,IT1
410,udinese-calcio,IT1,IT1
1025,fc-bologna,IT1,IT1
130,parma-calcio-1913,IT1,IT1
1038,sampdoria-genua,IT1,IT1
252,genoa-cfc,IT1,IT1
3522,spezia-calcio,IT1,IT1
4171,benevento-calcio,IT1,IT1
4083,fc-crotone,IT1,IT1
141,galatasaray-istanbul,TR1,TR1
1091,paok-thessaloniki,GR1,GR1
2441,aek-athen,GR1,GR1
265,panathinaikos-athen,GR1,GR1
605,aris-thessaloniki,GR1,GR1
653,ofi-kreta,GR1,GR1
3060,atromitos-athen,GR1,GR1
6418,panetolikos-gfs,GR1,GR1
4603,ae-larisa,GR1,GR1
6676,asteras-tripolis,GR1,GR1
3999,pas-lamia-1964,GR1,GR1
441,apollon-smyrnis,GR1,GR1
60949,volos-nps,GR1,GR1
2671,pas-giannina,GR1,GR1
36,fenerbahce-istanbul,TR1,TR1
114,besiktas-istanbul,TR1,TR1
449,trabzonspor,TR1,TR1
6890,istanbul-basaksehir-fk,TR1,TR1
11282,alanyaspor,TR1,TR1
10484,kasimpasa,TR1,TR1
1467,goztepe,TR1,TR1
7775,hatayspor,TR1,TR1
6646,fatih-karagumruk,TR1,TR1
126,caykur-rizespor,TR1,TR1
2832,gaziantep-fk,TR1,TR1
2381,sivasspor,TR1,TR1
2293,konyaspor,TR1,TR1
589,antalyaspor,TR1,TR1
868,mke-ankaragucu,TR1,TR1
3205,kayserispor,TR1,TR1
19789,yeni-malatyaspor,TR1,TR1
833,denizlispor,TR1,TR1
820,genclerbirligi-ankara,TR1,TR1
39722,buyuksehir-belediye-erzurumspor,TR1,TR1
865,fc-midtjylland,DK1,DK1
190,fc-kopenhagen,DK1,DK1
206,brondby-if,DK1,DK1
2778,fc-nordsjaelland,DK1,DK1
678,aarhus-gf,DK1,DK1
1053,aalborg-bk,DK1,DK1
173,odense-boldklub,DK1,DK1
443,vejle-boldklub,DK1,DK1
5817,sonderjyske,DK1,DK1
5724,randers-fc,DK1,DK1
369,lyngby-bk,DK1,DK1
2414,ac-horsens,DK1,DK1
