player_id,name,club_id,position,url
353032,omar-alderete,44,Defender - Centre-Back,https://www.transfermarkt.co.uk/omar-alderete/profil/spieler/353032
241974,nils-jonathan-korber,44,Goalkeeper,https://www.transfermarkt.co.uk/nils-jonathan-korber/profil/spieler/241974
353948,lucas-tousart,44,midfield - Defensive Midfield,https://www.transfermarkt.co.uk/lucas-tousart/profil/spieler/353948
93763,alexander-schwolow,44,Goalkeeper,https://www.transfermarkt.co.uk/alexander-schwolow/profil/spieler/93763
423436,santiago-ascacibar,44,midfield - Defensive Midfield,https://www.transfermarkt.co.uk/santiago-ascacibar/profil/spieler/423436
361081,daishawn-redan,44,attack - Centre-Forward,https://www.transfermarkt.co.uk/daishawn-redan/profil/spieler/361081
89592,marvin-plattenhardt,44,Defender - Left-Back,https://www.transfermarkt.co.uk/marvin-plattenhardt/profil/spieler/89592
447896,ruwen-werthmuller,44,attack - Centre-Forward,https://www.transfermarkt.co.uk/ruwen-werthmuller/profil/spieler/447896
282660,maximilian-mittelstadt,44,Defender - Left-Back,https://www.transfermarkt.co.uk/maximilian-mittelstadt/profil/spieler/282660
338032,deyovaisio-zeefuik,44,Defender - Right-Back,https://www.transfermarkt.co.uk/deyovaisio-zeefuik/profil/spieler/338032
315125,javairo-dilrosun,44,attack - Left Winger,https://www.transfermarkt.co.uk/javairo-dilrosun/profil/spieler/315125
227110,jordan-torunarigha,44,Defender - Centre-Back,https://www.transfermarkt.co.uk/jordan-torunarigha/profil/spieler/227110
448177,jessic-ngankam,44,attack - Centre-Forward,https://www.transfermarkt.co.uk/jessic-ngankam/profil/spieler/448177
245078,nemanja-radonjic,44,attack - Left Winger,https://www.transfermarkt.co.uk/nemanja-radonjic/profil/spieler/245078
185245,jhon-cordoba,44,attack - Centre-Forward,https://www.transfermarkt.co.uk/jhon-cordoba/profil/spieler/185245
88262,dedryck-boyata,44,Defender - Centre-Back,https://www.transfermarkt.co.uk/dedryck-boyata/profil/spieler/88262
